timestamp,year,event_sign,shock_close,aligned_taker_gap,gap_prev_days,repeat3,snapback_h1,future_ret_h1
2021-02-23 16:00:00+00:00,2021,-1.0,0.7945431093858307,-0.0188457968427078,,0,1,0.0713760619234535
2021-02-25 16:00:00+00:00,2021,-1.0,0.7290474601904108,-0.0097502488660568,2.0,1,0,-0.0491229057403389
2021-03-05 16:00:00+00:00,2021,1.0,0.8317538768784381,-0.0112639600753134,8.0,0,1,-0.0110919369968305
2021-03-15 16:00:00+00:00,2021,-1.0,0.6839730627305191,-0.0036919913456518,10.0,0,1,0.030217259912439
2021-04-07 16:00:00+00:00,2021,-1.0,0.6957137483078168,-0.0045892173452745,23.0,0,0,-0.0061421658557932
2021-04-18 16:00:00+00:00,2021,-1.0,0.8356023672032695,-0.0354892505771297,11.0,0,1,0.0764382508658099
2021-05-04 16:00:00+00:00,2021,1.0,0.5027230060474656,-0.0051426581433236,16.0,0,1,-0.0349904167335082
2021-05-13 16:00:00+00:00,2021,-1.0,0.787849569810383,-0.0078975899816664,9.0,0,0,-0.0113005412344016
2021-05-19 16:00:00+00:00,2021,-1.0,0.8070435509180299,-0.0111222777403444,6.0,0,1,0.1103975082504572
2021-06-08 16:00:00+00:00,2021,-1.0,0.5961387206548684,-0.0046944708392252,20.0,0,1,0.0408236558266177
2021-06-21 16:00:00+00:00,2021,-1.0,0.6077355563233468,-0.004378555286431,13.0,0,1,0.0334874890920782
2021-07-08 16:00:00+00:00,2021,-1.0,0.6002680879052887,-0.0064503513516985,17.0,0,1,0.0191439296392804
2021-07-20 16:00:00+00:00,2021,-1.0,0.6950261944777035,-0.0053104311783235,12.0,0,0,-0.0037226344090289
2021-07-26 16:00:00+00:00,2021,1.0,0.7590164564049015,-0.0127442751823303,6.0,0,1,-0.0344384914486498
2021-08-04 16:00:00+00:00,2021,1.0,0.5680492141134097,-0.0036147767778961,9.0,0,0,0.0089361744062389
2021-08-18 16:00:00+00:00,2021,-1.0,0.5580248962672029,-0.0048470767488976,14.0,0,0,-0.0074437857822385
2021-08-23 16:00:00+00:00,2021,1.0,0.5355148263418715,-0.0039302539688775,5.0,0,0,0.0020282396598877
2021-09-07 16:00:00+00:00,2021,-1.0,0.8663586290629146,-0.005777516912553,15.0,0,1,0.0867394910600407
2021-09-20 16:00:00+00:00,2021,-1.0,0.7374347883185324,-0.006128339110584,13.0,0,1,0.0497815551296479
2021-10-01 16:00:00+00:00,2021,1.0,0.7740896472095121,-0.0054778878533505,11.0,0,0,0.0199236891039613
2021-10-06 16:00:00+00:00,2021,1.0,0.7843290453817349,-0.0033248337137253,5.0,0,0,0.0018375467496549
2021-10-15 16:00:00+00:00,2021,1.0,0.7535175290357052,-0.0034665528308476,9.0,0,1,-0.0145817440089226
2021-10-27 16:00:00+00:00,2021,-1.0,0.703791940303454,-0.0065736972898274,12.0,0,0,-0.0039513937624747
2021-11-15 16:00:00+00:00,2021,-1.0,0.6667916161359043,-0.0050537713188453,19.0,0,0,-0.0023856851856656
2021-11-26 16:00:00+00:00,2021,-1.0,0.8092985722814402,-0.0059344572372298,11.0,0,0,-0.0014849320268909
2021-11-30 16:00:00+00:00,2021,-1.0,0.6556747993338138,-0.0047838923223895,4.0,0,1,0.0198882559721604
2021-12-04 16:00:00+00:00,2021,-1.0,0.8402777777777777,-0.0127691490634049,4.0,0,1,0.0432299196267952
2021-12-06 16:00:00+00:00,2021,1.0,0.755052818603954,-0.0037475786891448,2.0,1,0,0.0034916095310896
2021-12-10 16:00:00+00:00,2021,-1.0,0.5925263806495559,-0.0047608861195232,4.0,0,1,0.0188810509151872
2021-12-13 16:00:00+00:00,2021,-1.0,0.5729166666666666,-0.0037500588701385,3.0,1,0,-0.0007760467492728
2021-12-18 16:00:00+00:00,2021,-1.0,0.6963541666666667,-0.0053694771550355,5.0,0,0,-0.001082552926037
2021-12-20 16:00:00+00:00,2021,-1.0,0.6425347222222222,-0.0060362575128253,2.0,1,1,0.0117316166946369
2021-12-28 16:00:00+00:00,2021,-1.0,0.7246527777777778,-0.0086112922245685,8.0,0,0,-0.0054926147889014
2021-12-31 16:00:00+00:00,2021,-1.0,0.5920138888888888,-0.0039256107238058,3.0,1,0,-0.0005607413095935
2022-01-05 16:00:00+00:00,2022,-1.0,0.8027777777777778,-0.0039033755188414,5.0,0,1,0.0128039331809658
2022-01-07 16:00:00+00:00,2022,-1.0,0.6243055555555556,-0.006311229823474,2.0,1,1,0.0154128199804495
2022-01-21 16:00:00+00:00,2022,-1.0,0.8340277777777777,-0.0069947474147291,14.0,0,1,0.0287651537941616
2022-02-02 16:00:00+00:00,2022,-1.0,0.70625,-0.0038753870642987,12.0,0,0,-0.0042181226124165
