event_id,year,event_sign,P2_score,event_scale,path_start,cluster_month,event_day_sha256
2024-02-27T16:00:00Z,2024,1,-0.28321479169791131,0.0147376397038645,2024-02-27T20:00:00Z,2024-02,b647883e59c5839c6d5b0cecb200e575169b012a747702d1945ec8349057567b
2024-03-02T16:00:00Z,2024,1,-4.8263063219942124,0.0055465664241065001,2024-03-02T20:00:00Z,2024-03,9a76defbc559904fe4cbd0c593d0d5982e2614b93d9fa017ede045ae612b2dc4
2024-03-04T16:00:00Z,2024,1,-3.957586686746664,0.016023136034617101,2024-03-04T20:00:00Z,2024-03,a317458d68ea8b1ff7b9affe176566636760d5b6c6429bffc391d6e1ea654cd2
2024-03-13T16:00:00Z,2024,1,-2.3298726425296885,0.0103985662229347,2024-03-13T20:00:00Z,2024-03,f02368a330e5358e2fb4cb968605777410f172da21fff39a6141d563efa52138
2024-03-20T16:00:00Z,2024,1,-1.5404824743373078,0.037035454087209402,2024-03-20T20:00:00Z,2024-03,c8d87c01ad782d0f06375bd3e8ee0dc9c498b5e7ac98c96b9421f8d8679fcb3e
2024-03-25T16:00:00Z,2024,1,-1.6457520740010554,0.017159770607863601,2024-03-25T20:00:00Z,2024-03,03955bca091c60d9e373a20d5411beb6811eb5dd7d86961cc4047b485aafcb1f
2024-03-26T16:00:00Z,2024,-1,-2.3756850267935934,0.0120005449855964,2024-03-26T20:00:00Z,2024-03,572f3bb4663ff35b7bd83c34a17e2e9407165709a1dbdada9bdafc6e52113d71
2024-04-01T16:00:00Z,2024,1,0.1212023823714235,0.022877509512336101,2024-04-01T20:00:00Z,2024-04,e9d1594120e7c5107686281a8010df492b43346f4c5ee3aa8d97aed3dcaa16f4
2024-04-30T16:00:00Z,2024,-1,0.43572145501937942,0.026758338488989401,2024-04-30T20:00:00Z,2024-04,1aa78a1e9246c9e4391965d7845356a25cb01e13a3e8f8bc2f10ad9ad40eeee9
2024-05-05T16:00:00Z,2024,-1,-0.2888517357991553,0.0096326639637380005,2024-05-05T20:00:00Z,2024-05,b708bf2155c81dd3c9fddd312956c9c02e2e0db7c320d24be01ad9cbb3431ca9
2024-05-19T16:00:00Z,2024,-1,0.77812044250598,0.015558164300515201,2024-05-19T20:00:00Z,2024-05,f7be1318ab17403813715621c8b237a963c0a7241813f6003730a9ec241faf3f
2024-05-24T16:00:00Z,2024,1,1.9281627257092959,0.0134260450220505,2024-05-24T20:00:00Z,2024-05,8f09a35115727841106cf006f963e60e89c6d7ecc4ed22e317a0f9ea1798b008
2024-05-27T16:00:00Z,2024,-1,0.5117481439512146,0.0187157403657995,2024-05-27T20:00:00Z,2024-05,515ed95fdb57e96dbe8f003352a5e557c06c409c3d31d27575ae5b642ca540f2
2024-06-06T16:00:00Z,2024,-1,-1.8094011028958821,0.0119930890755598,2024-06-06T20:00:00Z,2024-06,ca5c81c64c0ec37ab52391d87e5d6a79b85b158ad98c8cf33ce0b3fef78d6d5b
