day,url,role,expected_sha256,actual_sha256,hash_match,download_ok,parse_ok,rows,duplicate_timestamp_rows,timestamp_unit_source,first_open_utc,last_open_utc,full_day_5m_continuity,error
2023-03-23,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-03-23.zip,NEXT_DAY,,a1c24edc24dd58ac01d0331b9aa89965152f9d96729bb57718dac59c0d86fb92,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-03-23T00:00:00+00:00,2023-03-23T23:55:00+00:00,True,
2023-03-25,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-03-25.zip,EVENT_DAY,967a7305b545bef53931587905d766ad4aa30c8ddb422ba6365493a4034f1248,967a7305b545bef53931587905d766ad4aa30c8ddb422ba6365493a4034f1248,True,True,True,288,0,milliseconds,2023-03-25T00:00:00+00:00,2023-03-25T23:55:00+00:00,True,
2023-03-26,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-03-26.zip,NEXT_DAY,,eda6e9a87b1965a77d7e1b856f2ff6318a2450d05cf5204ab74502a529d0588f,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-03-26T00:00:00+00:00,2023-03-26T23:55:00+00:00,True,
2023-03-28,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-03-28.zip,EVENT_DAY,7d0615a28b635635a0249787ded144e5d581f1f507d9b4b4611dc5381638591d,7d0615a28b635635a0249787ded144e5d581f1f507d9b4b4611dc5381638591d,True,True,True,288,0,milliseconds,2023-03-28T00:00:00+00:00,2023-03-28T23:55:00+00:00,True,
2023-03-29,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-03-29.zip,NEXT_DAY,,6862b4bd3b326d9fe264ada725cb1f1fbef7a380766a986ae79059f3ce744c00,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-03-29T00:00:00+00:00,2023-03-29T23:55:00+00:00,True,
2023-04-20,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-04-20.zip,EVENT_DAY,98ea9c59334c87b67d60dc35b645373707be8f25379ee17b18977e08f72242a9,98ea9c59334c87b67d60dc35b645373707be8f25379ee17b18977e08f72242a9,True,True,True,288,0,milliseconds,2023-04-20T00:00:00+00:00,2023-04-20T23:55:00+00:00,True,
2023-04-21,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-04-21.zip,NEXT_DAY,,bb074c5a7d146fe66281ca7a9aacf11e13de08fdb936838ea12d30f896b3b875,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-04-21T00:00:00+00:00,2023-04-21T23:55:00+00:00,True,
2023-05-01,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-05-01.zip,EVENT_DAY,5254449d29ff8ec9d815190a0759524a3ecdaf4ecce977b928c0d97083dccfba,5254449d29ff8ec9d815190a0759524a3ecdaf4ecce977b928c0d97083dccfba,True,True,True,288,0,milliseconds,2023-05-01T00:00:00+00:00,2023-05-01T23:55:00+00:00,True,
2023-05-02,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-05-02.zip,NEXT_DAY,,2a2010ec7df8987a6a1f26c0bb5e87fa238e8f1a4c020fe1814de98e46d3db4c,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-05-02T00:00:00+00:00,2023-05-02T23:55:00+00:00,True,
2023-05-08,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-05-08.zip,EVENT_DAY,0f128947a834cea32e7cd071ee193f0748230616b95707c8a705ff11995c84e7,0f128947a834cea32e7cd071ee193f0748230616b95707c8a705ff11995c84e7,True,True,True,288,0,milliseconds,2023-05-08T00:00:00+00:00,2023-05-08T23:55:00+00:00,True,
2023-05-09,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2023-05-09.zip,NEXT_DAY,,73ec25fffc227356acc70bae7e8a6d6aa4684e0c638037dc95563aca2217f44b,NOT_PREDECLARED,True,True,288,0,milliseconds,2023-05-09T00:00:00+00:00,2023-05-09T23:55:00+00:00,True,
