event_id,year,path_start_utc,path_end_utc,expected_rows,observed_rows,missing_count,extra_count,complete,first_missing_utc,last_missing_interval_open_utc,missing_ranges_json,archive_dependency_errors
2021-02-23T16:00:00Z,2021,2021-02-23T20:00:00+00:00,2021-02-24T08:00:00+00:00,144,144,0,0,True,,,[],
2021-02-25T16:00:00Z,2021,2021-02-25T20:00:00+00:00,2021-02-26T08:00:00+00:00,144,144,0,0,True,,,[],
2021-03-05T16:00:00Z,2021,2021-03-05T20:00:00+00:00,2021-03-06T08:00:00+00:00,144,126,18,0,False,2021-03-06T02:00:00+00:00,2021-03-06T03:25:00+00:00,"[{""start_utc"":""2021-03-06T02:00:00+00:00"",""end_utc"":""2021-03-06T03:30:00+00:00"",""bars"":18}]",
2021-03-13T16:00:00Z,2021,2021-03-13T20:00:00+00:00,2021-03-14T08:00:00+00:00,144,144,0,0,True,,,[],
2021-04-06T16:00:00Z,2021,2021-04-06T20:00:00+00:00,2021-04-07T08:00:00+00:00,144,144,0,0,True,,,[],
2021-04-15T16:00:00Z,2021,2021-04-15T20:00:00+00:00,2021-04-16T08:00:00+00:00,144,144,0,0,True,,,[],
2021-05-10T16:00:00Z,2021,2021-05-10T20:00:00+00:00,2021-05-11T08:00:00+00:00,144,144,0,0,True,,,[],
2021-05-14T16:00:00Z,2021,2021-05-14T20:00:00+00:00,2021-05-15T08:00:00+00:00,144,144,0,0,True,,,[],
2021-06-17T16:00:00Z,2021,2021-06-17T20:00:00+00:00,2021-06-18T08:00:00+00:00,144,144,0,0,True,,,[],
2021-06-18T16:00:00Z,2021,2021-06-18T20:00:00+00:00,2021-06-19T08:00:00+00:00,144,144,0,0,True,,,[],
2021-07-10T16:00:00Z,2021,2021-07-10T20:00:00+00:00,2021-07-11T08:00:00+00:00,144,144,0,0,True,,,[],
2021-07-12T16:00:00Z,2021,2021-07-12T20:00:00+00:00,2021-07-13T08:00:00+00:00,144,144,0,0,True,,,[],
2021-07-13T16:00:00Z,2021,2021-07-13T20:00:00+00:00,2021-07-14T08:00:00+00:00,144,144,0,0,True,,,[],
2021-08-07T16:00:00Z,2021,2021-08-07T20:00:00+00:00,2021-08-08T08:00:00+00:00,144,144,0,0,True,,,[],
2021-08-19T16:00:00Z,2021,2021-08-19T20:00:00+00:00,2021-08-20T08:00:00+00:00,144,144,0,0,True,,,[],
2021-08-30T16:00:00Z,2021,2021-08-30T20:00:00+00:00,2021-08-31T08:00:00+00:00,144,144,0,0,True,,,[],
2021-09-09T16:00:00Z,2021,2021-09-09T20:00:00+00:00,2021-09-10T08:00:00+00:00,144,144,0,0,True,,,[],
2021-09-23T16:00:00Z,2021,2021-09-23T20:00:00+00:00,2021-09-24T08:00:00+00:00,144,144,0,0,True,,,[],
2021-10-05T16:00:00Z,2021,2021-10-05T20:00:00+00:00,2021-10-06T08:00:00+00:00,144,144,0,0,True,,,[],
2021-10-19T16:00:00Z,2021,2021-10-19T20:00:00+00:00,2021-10-20T08:00:00+00:00,144,144,0,0,True,,,[],
2021-10-24T16:00:00Z,2021,2021-10-24T20:00:00+00:00,2021-10-25T08:00:00+00:00,144,144,0,0,True,,,[],
2021-10-30T16:00:00Z,2021,2021-10-30T20:00:00+00:00,2021-10-31T08:00:00+00:00,144,144,0,0,True,,,[],
2021-11-06T16:00:00Z,2021,2021-11-06T20:00:00+00:00,2021-11-07T08:00:00+00:00,144,144,0,0,True,,,[],
2021-11-20T16:00:00Z,2021,2021-11-20T20:00:00+00:00,2021-11-21T08:00:00+00:00,144,144,0,0,True,,,[],
2021-11-22T16:00:00Z,2021,2021-11-22T20:00:00+00:00,2021-11-23T08:00:00+00:00,144,144,0,0,True,,,[],
2021-12-03T16:00:00Z,2021,2021-12-03T20:00:00+00:00,2021-12-04T08:00:00+00:00,144,144,0,0,True,,,[],
