event_id,event_time,year,cluster_month,event_sign,P2_score,event_scale,price_20utc,max_counter_h1,max_aligned_h1,max_counter_h3,max_aligned_h3,max_counter_h6,max_aligned_h6,max_counter_h12,max_aligned_h12,T1_max_counter_60m,time_max_counter_min,fp_0.10_event,fp_0.10_time_min,fp_0.25_event,fp_0.25_time_min,fp_0.50_event,fp_0.50_time_min,fp_1.00_event,fp_1.00_time_min,sign_change_count,auc_counter_fraction_hours
2021-02-23T16:00:00Z,2021-02-23 16:00:00+00:00,2021,2021-02,-1,0.060771985946714902,0.065952973624545802,45523.019999999997,0.74637771799431762,0.090873275346305293,1.0402887230349942,0.090873275346305293,1.4904431672535052,0.090873275346305293,1.8283196003541944,0.090873275346305293,0.74637771799431762,500,1,5,1,5,1,35,1,140,0,14.146072239780526
2021-02-25T16:00:00Z,2021-02-25 16:00:00+00:00,2021,2021-02,-1,-0.030399024178020401,0.0324561583377748,49442.199999999997,0.067110593569543103,0.57409962293218142,0.067110593569543103,1.2535467642272482,0.067110593569543103,2.2233966602327455,0.067110593569543103,3.5183091362972245,0.067110593569543103,30,0,720,0,720,0,720,0,720,0,0
2021-03-13T16:00:00Z,2021-03-13 16:00:00+00:00,2021,2021-03,1,-0.40912914608010131,0.019443210898602001,60773.559999999998,0.10319806743739911,0.89801316063636338,0.14242390055819587,0.89801316063636338,0.14242390055819587,0.89801316063636338,0.27006382002185131,0.89801316063636338,0.10319806743739911,720,1,5,1,720,0,720,0,720,9,0.050383567415884956
2021-04-06T16:00:00Z,2021-04-06 16:00:00+00:00,2021,2021-04,1,-4.4945754716446364,0.0079860442445176,58225.010000000002,0.48486450447203167,0.18674741756273586,1.6044719774119212,0.18674741756273586,2.3075372717097955,0.18674741756273586,2.3075372717097955,0.92133667363709859,0.48486450447203167,330,1,15,1,25,1,85,1,85,9,8.9896966671805671
2021-04-15T16:00:00Z,2021-04-15 16:00:00+00:00,2021,2021-04,1,-3.8573016728811536,0.013585642906170601,63363.290000000001,0.21163462538457398,0.2654845769973172,0.2141627469782256,0.50557185515938785,0.79335814626361645,0.50557185515938785,2.7677052638441144,0.50557185515938785,0.21163462538457398,680,1,15,1,205,1,340,1,515,17,9.0832202675792626
2021-05-10T16:00:00Z,2021-05-10 16:00:00+00:00,2021,2021-05,-1,-5.2741900504559291,0.048853077451985201,55733.760000000002,0.0021521102481778516,0.87559113407897093,0.19596536444631088,0.87559113407897093,0.25611429061525576,0.87559113407897093,0.25611429061525576,0.87559113407897093,0.0021521102481778516,270,1,170,1,270,0,720,0,720,17,0.15528958287756237
2021-05-14T16:00:00Z,2021-05-14 16:00:00+00:00,2021,2021-05,-1,-3.7597848102657858,0.022275886542931202,50141.330000000002,0.13701350855952743,0.9741326526345212,0.13701350855952743,1.0061670228015545,0.49741196470339399,1.0061670228015545,0.49741196470339399,1.5867294132425194,0.13701350855952743,360,1,10,1,325,0,720,0,720,11,0.35155041719043556
2021-06-17T16:00:00Z,2021-06-17 16:00:00+00:00,2021,2021-06,-1,-0.32917216411203742,0.0392901886555687,37702.529999999999,0.11476513675470201,0.22888064122494536,0.17890321027872655,0.22888064122494536,0.37224274749823094,0.22888064122494536,0.37224274749823094,0.3326285468673798,0.11476513675470201,190,1,15,1,185,0,720,0,720,21,0.94606913752759736
2021-06-18T16:00:00Z,2021-06-18 16:00:00+00:00,2021,2021-06,-1,-0.43436284470955322,0.034299241324189801,35323.650000000001,0.44449911184454971,0.075528525177144437,0.44449911184454971,0.075528525177144437,0.79274776961866933,0.075528525177144437,0.79274776961866933,0.43249295368205887,0.44449911184454971,325,1,5,1,10,1,255,0,720,4,2.7969204879799339
2021-07-10T16:00:00Z,2021-07-10 16:00:00+00:00,2021,2021-07,-1,2.7640382687514409,0.019057650664848502,33411.410000000003,1.5704921467932625e-05,0.64252720153938114,0.44970958499072783,0.64252720153938114,0.63442866049363944,0.64252720153938114,0.63442866049363944,0.64252720153938114,1.5704921467932625e-05,260,1,125,1,140,1,255,0,720,5,2.167247381453536
